title,rating,posterUrl,genre,cast,runtime
White Girl,5.7,,Crime,Morgan Saylor,88
Everybody Wants Some!!,6.9,,Comedy,Blake Jenner,117
The Take,6.3,,Action,Idris Elba,92
The Finest Hours,6.8,,Action,Chris Pine,117
Greater,7.3,,Biography,Neal McDonough,130
The Love Witch,6.2,,Comedy,Samantha Robinson,120
The Belko Experiment,6.1,,Horror,John Gallagher Jr.,89
The BFG,6.4,,Adventure,Mark Rylance,117
Zoolander 2,4.7,,Action,Ben Stiller,101
Midnight Special,6.6,,Drama,Michael Shannon,112
The Angry Birds Movie,6.3,,Animation,Jason Sudeikis,97
Live by Night,6.4,,Action,Ben Affleck,129
Nerve,6.5,,Action,Emma Roberts,96
Mechanic: Resurrection,5.7,,Action,Jason Statham,98
Sing Street,7.9,,Comedy,Ferdia Walsh-Peelo,106
The Light Between Oceans,7.2,,Drama,Michael Fassbender,133
Shin Godzilla,6.8,,Action,Hiroki Hasegawa,120
Why Him?,6.2,,Comedy,Zoey Deutch,111
Miracles from Heaven,7.1,,Biography,Jennifer Garner,109
Colossal,6.2,,Comedy,Anne Hathaway,109
Free Fire,6.4,,Action,Sharlto Copley,91
The Void,5.9,,Horror,Aaron Poole,90
The Exception,6.8,,Drama,Lily James,107
Neighbors 2: Sorority Rising,5.7,,Comedy,Seth Rogen,92
Ben-Hur,5.7,,Action,Jack Huston,123
Free State of Jones,6.9,,Action,Matthew McConaughey,139
Jackie,6.7,,Biography,Natalie Portman,100
Gold,6.7,,Crime,Matthew McConaughey,120
Pete's Dragon,6.7,,Action,Bryce Dallas Howard,102
31,5.1,,Horror,Malcolm McDowell,102
Keanu,6.3,,Action,Keegan-Michael Key,100
Goat,5.7,,Drama,Ben Schnetzer,96
Storks,6.8,,Animation,Andy Samberg,87
A Monster Calls,7.5,,Adventure,Lewis MacDougall,108
Anthropoid,7.2,,Action,Jamie Dornan,120
Kubo and the Two Strings,7.8,,Animation,Charlize Theron,101
Café Society,6.6,,Comedy,Jesse Eisenberg,96
Blair Witch,5,,Horror,James Allen McCune,89
The Salesman,7.8,,Drama,Shahab Hosseini,124
In a Valley of Violence,6,,Action,Ethan Hawke,104
Ratchet & Clank,5.6,,Animation,James Arnold Taylor,94
Risen,6.3,,Action,Joseph Fiennes,107
Rules Don't Apply,5.7,,Comedy,Lily Collins,127
Office Christmas Party,5.9,,Comedy,Jason Bateman,105
Better Watch Out,6.5,,Comedy,Olivia DeJonge,89
Florence Foster Jenkins,6.8,,Biography,Meryl Streep,111
Batman: The Killing Joke,6.4,,Animation,Kevin Conroy,76
Leap!,6.8,,Animation,Elle Fanning,89
The Untamed,6.1,,Drama,Ruth Ramos,98
A Hologram for the King,6.1,,Comedy,Tom Hanks,98
Ouija: Origin of Evil,6.1,,Drama,Elizabeth Reaser,99
All I See Is You,5.4,,Drama,Blake Lively,109
The Forest,4.8,,Horror,Natalie Dormer,93
Money Monster,6.5,,Crime,George Clooney,98
Monster Trucks,5.7,,Animation,Lucas Till,104
The Hollars,6.6,,Comedy,Sharlto Copley,88
Fifty Shades of Black,3.5,,Comedy,Marlon Wayans,92
Toni Erdmann,7.4,,Comedy,Sandra Hüller,162
Their Finest,6.8,,Comedy,Gemma Arterton,117
My Big Fat Greek Wedding 2,6,,Comedy,Nia Vardalos,94
Billy Lynn's Long Halftime Walk,6.2,,Action,Joe Alwyn,113
Personal Shopper,6.1,,Drama,Kristen Stewart,105
Our Kind of Traitor,6.2,,Crime,Carlos Acosta,108
Love & Friendship,6.4,,Comedy,Kate Beckinsale,90
Bleed for This,6.8,,Biography,Miles Teller,117
Whiskey Tango Foxtrot,6.6,,Biography,Tina Fey,112
Loving,7,,Biography,Ruth Negga,123
"I, Daniel Blake",7.9,,Drama,Dave Johns,100
Sanam Teri Kasam,7.5,,Drama,Harshvardhan Rane,154
Pet,5.7,,Horror,Dominic Monaghan,94
Kingsglaive: Final Fantasy XV,6.8,,Animation,Aaron Paul,110
Mr. Church,7.7,,Comedy,Eddie Murphy,104
Hands of Stone,6.6,,Biography,Edgar Ramírez,111
Ae Dil Hai Mushkil,5.8,,Drama,Ranbir Kapoor,158
Denial,6.7,,Biography,Rachel Weisz,109
Carrie Pilby,6.7,,Comedy,Bel Powley,98
Ride Along 2,5.9,,Action,Ice Cube,102
Pink,8.1,,Crime,Taapsee Pannu,136
Under the Shadow,6.9,,Drama,Narges Rashidi,84
Rock Dog,6,,Animation,Luke Wilson,90
Race,7.1,,Biography,Stephan James,134
A United Kingdom,6.9,,Biography,David Oyelowo,111
Julieta,7.1,,Drama,Emma Suárez,99
American Pastoral,6.1,,Crime,Ewan McGregor,108
Buster's Mal Heart,6.2,,Crime,Rami Malek,96
Complete Unknown,5.4,,Drama,Erin Darke,91
This Beautiful Fantastic,6.9,,Comedy,Jessica Brown Findlay,92
Incarnate,5.3,,Horror,Aaron Eckhart,87
The Innocents,7.3,,Drama,Lou de Laâge,115
Thor: Ragnarok,7.9,,Action,Chris Hemsworth,130
Darkest Hour,7.4,,Biography,Gary Oldman,125
The Hitman's Bodyguard,6.9,,Action,Ryan Reynolds,118
It,7.3,,Horror,Bill Skarsgård,135
Spider-Man: Homecoming,7.4,,Action,Tom Holland,133
Blade Runner 2049,8,,Action,Harrison Ford,164
Guardians of the Galaxy Vol. 2,7.6,,Action,Chris Pratt,136
The Greatest Showman,7.6,,Biography,Hugh Jackman,105
Jumanji: Welcome to the Jungle,6.9,,Action,Dwayne Johnson,119
Baywatch,5.5,,Action,Dwayne Johnson,116
Call Me by Your Name,7.9,,Drama,Armie Hammer,132
Home Again,5.8,,Comedy,Reese Witherspoon,97
The Fate of the Furious,6.6,,Action,Vin Diesel,136
Get Out,7.7,,Horror,Daniel Kaluuya,104
Dunkirk,7.8,,Action,Fionn Whitehead,106
Coco,8.4,,Animation,Anthony Gonzalez,105
Baby Driver,7.6,,Action,Ansel Elgort,113
The Boss Baby,6.3,,Animation,Alec Baldwin,97
Logan,8.1,,Action,Hugh Jackman,137
Wonder Woman,7.4,,Action,Gal Gadot,141
Alien: Covenant,6.4,,Horror,Michael Fassbender,122
John Wick: Chapter 2,7.5,,Action,Keanu Reeves,122
Wonder,8,,Drama,Jacob Tremblay,113
Justice League,6.1,,Action,Ben Affleck,120
Mother!,6.6,,Drama,Jennifer Lawrence,121
Pirates of the Caribbean: Dead Men Tell No Tales,6.5,,Action,Johnny Depp,129
The Shape of Water,7.3,,Adventure,Sally Hawkins,123
Disobedience,6.6,,Drama,Rachel Weisz,114
Kong: Skull Island,6.6,,Action,Tom Hiddleston,118
Beauty and the Beast,7.1,,Family,Emma Watson,129
Kingsman: The Golden Circle,6.7,,Action,Taron Egerton,141
"Three Billboards Outside Ebbing, Missouri",8.1,,Comedy,Frances McDormand,115
Star Wars: Episode VIII - The Last Jedi,7,,Action,Daisy Ridley,152
Beast,6.8,,Crime,Jessie Buckley,107
"I, Tonya",7.5,,Biography,Margot Robbie,119
Atomic Blonde,6.7,,Action,Charlize Theron,115
Wind River,7.7,,Crime,Elizabeth Olsen,107
Murder on the Orient Express,6.5,,Crime,Kenneth Branagh,114
King Arthur: Legend of the Sword,6.7,,Action,Charlie Hunnam,126
Lady Bird,7.4,,Comedy,Saoirse Ronan,94
The Killing of a Sacred Deer,7,,Drama,Barry G. Bernson,121
Logan Lucky,7,,Comedy,Channing Tatum,118
Fifty Shades Darker,4.6,,Drama,Dakota Johnson,118
Happy Death Day,6.6,,Comedy,Jessica Rothe,96
Transformers: The Last Knight,5.2,,Action,Mark Wahlberg,154
Good Time,7.4,,Crime,Robert Pattinson,102
Ghost in the Shell,6.3,,Action,Scarlett Johansson,107
Hampstead,6,,Comedy,Lesley Manville,102
Molly's Game,7.4,,Biography,Jessica Chastain,140
Hostiles,7.2,,Drama,Scott Shepherd,134
Valerian and the City of a Thousand Planets,6.5,,Action,Dane DeHaan,136
The Dark Tower,5.6,,Action,Idris Elba,95
Pitch Perfect 3,5.8,,Comedy,Anna Kendrick,93
American Assassin,6.2,,Action,Dylan O'Brien,111
You Were Never Really Here,6.8,,Crime,Joaquin Phoenix,89
The Florida Project,7.6,,Drama,Brooklynn Prince,111
Life,6.6,,Horror,Jake Gyllenhaal,104
The Death of Stalin,7.2,,Comedy,Steve Buscemi,107
Gifted,7.6,,Drama,Chris Evans,101
Phantom Thread,7.5,,Drama,Vicky Krieps,130
The Upside,7,,Comedy,Kevin Hart,126
Berlin Syndrome,6.3,,Drama,Teresa Palmer,116
Annabelle: Creation,6.5,,Horror,Anthony LaPaglia,109
American Made,7.2,,Action,Tom Cruise,115
War for the Planet of the Apes,7.4,,Action,Andy Serkis,140
Geostorm,5.3,,Action,Gerard Butler,109
The Circle,5.3,,Drama,Emma Watson,110
Cars 3,6.7,,Animation,Owen Wilson,102
Rough Night,5.2,,Comedy,Scarlett Johansson,101
xXx: Return of Xander Cage,5.2,,Action,Vin Diesel,107
The Mummy,5.4,,Action,Tom Cruise,110
CHIPS,6,,Action,Michael Peña,100
Ferdinand,6.7,,Animation,John Cena,108
Only the Brave,7.6,,Action,Josh Brolin,134
The Beguiled,6.3,,Drama,Nicole Kidman,93
The Glass Castle,7.1,,Biography,Brie Larson,127
The Lego Batman Movie,7.3,,Animation,Will Arnett,104
Papillon,7.2,,Adventure,Charlie Hunnam,133
The Big Sick,7.5,,Comedy,Kumail Nanjiani,120
The Endless,6.5,,Drama,Aaron Moorhead,111
Thoroughbreds,6.7,,Comedy,Olivia Cooke,92
The Foreigner,7,,Action,Katie Leung,113
Revenge,6.4,,Action,Matilda Anna Ingrid Lutz,108
Jigsaw,5.8,,Crime,Matt Passmore,92
The Snowman,5.1,,Crime,Michael Fassbender,119
The Disaster Artist,7.4,,Biography,James Franco,104
47 Meters Down,5.7,,Adventure,Mandy Moore,89
The Post,7.2,,Drama,Meryl Streep,116
"Everything, Everything",6.4,,Drama,Amandla Stenberg,96
A Ghost Story,6.9,,Drama,Casey Affleck,92
Sweet Virginia,6.2,,Action,Jon Bernthal,93
Power Rangers,5.9,,Action,Dacre Montgomery,124
Lucky,7.4,,Comedy,Harry Dean Stanton,88
