,movie_name,year,genre,Poster_url,director,cast,overview
1858,Touch Chesi Chudu,2018,"Action, Comedy, Crime",,Vikram Sirikonda,"Ravi Teja, Raashi Khanna, Seerat Kapoor, Murli Sharma",A peaceful man completely devoted to his family finds his violent past resurfacing.
1859,Aap Ki Kasam,1974,"Romance, Drama",,J. Om Prakash,"Rajesh Khanna, Mumtaz Askari, Sanjeev Kumar, Rehman Khan",Rajesh Khanna plays Mumtaz's jealous husband who begins to doubt her fidelity when his best friend Sanjeev Kumar enters their lives. She is unable to convince Rajesh Khanna that she loves ...                See full summary »
1860,Bewakoofiyaan,2014,"Comedy, Drama, Romance",,Nupur Asthana,"Ayushmann Khurrana, Sonam Kapoor, Rishi Kapoor, Swedha Singh",Bewakoofiyaan is a slice-of life comedy when recession strikes and the lack of money tests love. Is living on love and fresh air really possible?
1861,Khamoshi,1970,"Drama, Romance",,Asit Sen,"Rajesh Khanna, Waheeda Rehman, Nasir Hussain, Snehlata",Tale of a female nurse trying to maintain a balance between her professional life and her emotions who falls victim to the natural feeling of love and compassion when a person takes care of another person.
1862,Sanam Bewafa,1991,"Drama, Romance",,Saawan Kumar Tak,"Salman Khan, Chandni, Kanchan, Pran Sikand","Salman falls in love with Ruksar but their fathers, despite being neighbours, are sworn enemies. The couple end up marrying but they are shocked when they finally discover the reason why their fathers allow the marriage to take place."
1863,Rocket Gang,2022,"Comedy, Drama, Fantasy",,Bosco Martis,"Aditya Seal, Nikita Dutta, Jason Tham, Mokshada Jaikhani","A roller-coaster ride of friendship, camaraderie, love and dance as the team of 5 children step into the biggest dance competition to accomplish their dream."
1864,Andaman,2021,Drama,,Smita Singh,"Vishal Agiran, Arav Aryavanshi, Arav Aryavanshi, Dinesh Awasthi",Andaman is an inspirational social drama about a quarantine centre in an unprivileged village.
1865,Samadhi,1972,"Action, Drama, Romance",,Prakash Mehra,"Asha Parekh, Dharmendra, Jaya Bachchan, Tun Tun","Lakhan Singh gives his life of a Dacoit and lives a happy life with his wife Champa when his son Jaswant becomes three years old, Champa becomes ill with cancer and circumstances force him to be again a Dacoit."
1866,Kareeb,1998,"Drama, Romance",,Vidhu Vinod Chopra,"Bobby Deol, Shabana Raza, Abhay Chopra, Moushumi Chatterjee","Birju is a young man who lives with his mom, dad, elder brother, Bhabhi and nephew in an upper middle class home. His father would like him to work as well as accept some responsibility, ...                See full summary »"
1867,Kuldip Patwal: I Didn't Do It!,2017,"Crime, Drama, Mystery",,Remy Kohli,"Deepak Dobriyal, Gulshan Devaiah, Raima Sen, Parvin Dabas","A commoner is thrown into a jail cell on suspicion of murder of a local politician. Can he survive the State entrapment, or did he actually do it?"
1868,Dil Ne Jise Apna Kaha,2004,"Drama, Romance",,Atul Agnihotri,"Salman Khan, Preity G Zinta, Bhoomika Chawla, Rati Agnihotri","A wealthy man working in an advertising agency and a dedicated doctor fall in love and marry. When his wife dies, the devastated man must fulfil her last wishes."
