,movie_name,year,genre,Poster_url,director,cast,overview
0,Jawan,2023,"Action, Thriller",,Atlee,"Shah Rukh Khan, Nayanthara, Vijay Sethupathi, Deepika Padukone",A high-octane action thriller which outlines the emotional journey of a man who is set to rectify the wrongs in the society.
1,Jaane Jaan,2023,"Crime, Drama, Mystery",,Sujoy Ghosh,"Kareena Kapoor, Jaideep Ahlawat, Vijay Varma, Saurabh Sachdeva",A single mother and her daughter who commit a crime and a neighbor who helps them cover it up amidst a police investigation.
2,Jailer,2023,"Action, Comedy, Crime",,Nelson Dilipkumar,"Rajinikanth, Mohanlal, Shivarajkumar, Jackie Shroff","A retired jailer goes on a manhunt to find his son's killers. But the road leads him to a familiar, albeit a bit darker place. Can he emerge from this complex situation successfully?"
3,Rocky Aur Rani Kii Prem Kahaani,2023,"Comedy, Drama, Family",,Karan Johar,"Ranveer Singh, Alia Bhatt, Dharmendra, Shabana Azmi","Flamboyant Punjabi Rocky and intellectual Bengali journalist Rani fall in love despite their differences. After facing family opposition, they decide to live with each other's families for three months before getting married."
4,OMG 2,2023,"Comedy, Drama",,Amit Rai,"Pankaj Tripathi, Akshay Kumar, Yami Gautam, Pawan Malhotra",An unhappy civilian asks the court to mandate comprehensive education in schools in a dramatic yet amusing courtroom play.
5,Sukhee,2023,Drama,,Sonal Joshi,"Shilpa Shetty Kundra, Amit Sadh, Chaitannya Choudhry, Kusha Kapila","Much to the dismay of her husband, a middle-class housewife, known for her rebellious attitude in high school, decides to attend her class reunion."
6,The Great Indian Family,2023,Family,,Vijay Krishna Acharya,"Alka Amin, Bhuvan Arora, Manushi Chhillar, Srishti Dixit","Ved Vyas Tripathi, aka Bhajan Kumar, is a devout Hindu man who faces an identity crisis and a personal dilemma when he discovers he is actually a Muslim by birth."
7,The BFG,2016,"Adventure, Family, Fantasy",,Steven Spielberg,"Mark Rylance, Ruby Barnhill, Penelope Wilton, Jemaine Clement","An orphan little girl befriends a benevolent giant who takes her to Giant Country, where they attempt to stop the man-eating giants that are invading the human world."
8,Pathaan,2023,"Action, Adventure, Thriller",,Siddharth Anand,"Shah Rukh Khan, Deepika Padukone, John Abraham, Dimple Kapadia","An Indian agent races against a doomsday clock as a ruthless mercenary, with a bitter vendetta, mounts an apocalyptic attack against the country."
9,Mastaney,2023,"Action, Drama, History",,Sharan Art,"Tarsem Jassar, Simi Chahal, Gurpreet Ghuggi, Karamjit Anmol","Set in 1739, Nadar Shah's undefeated army was attacked by Sikh Rebellions. Nadar demands to arrest them but it doesn't work out. Five ordinary men are hired to play Sikh Rebellions but over time they learn what Sikhs are."
10,3 Idiots,2009,"Comedy, Drama",,Rajkumar Hirani,"Aamir Khan, Madhavan, Mona Singh, Sharman Joshi","Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots""."
11,Satyaprem Ki Katha,2023,"Comedy, Drama, Musical",,Sameer Vidwans,"Kartik Aaryan, Kiara Advani, Supriya Pathak, Gajraj Rao","A middle-class boy in Ahmedabad, Satyaprem falling in one-sided love with Katha, who is coping with her breakup with Tapan. Through the journey, they discover each other's life and complement in accomplishing what was left halfway."
12,Lion,2016,"Biography, Drama",,Garth Davis,"Dev Patel, Nicole Kidman, Rooney Mara, Sunny Pawar","A five-year-old Indian boy is adopted by an Australian couple after getting lost hundreds of kilometers from home. 25 years later, he sets out to find his lost family."
13,Bholaa Shankar,2023,"Action, Drama",,Meher Ramesh,"Chiranjeevi, Tamannaah Bhatia, Keerthy Suresh, Raghu Babu",A doting brother tries to hunt down notorious criminals who had harmed his sister.
14,Haddi,2023,"Crime, Drama",,Akshat Ajay Sharma,"Nawazuddin Siddiqui, Anurag Kashyap, Mohd. Zeeshan Ayyub, Resh Lamba","In this ZEE5 Original film, a transgender, Haddi moves to Delhi and joins a gang of transgenders and cross-dressers headed by an influential man. But is this move aspirational or driven by revenge?"
15,Friday Night Plan,2023,"Comedy, Drama",,Vatsal Neelakantan,"Babil Khan, Amrith Jayan, Medha Rana, Aadhya Anand","When their mother takes off on a business trip, two bickering brothers unite to secretly attend the hottest party of the year before she returns."
16,Neeyat,2023,"Crime, Mystery, Thriller",,Anu Menon,"Vidya Balan, Ram Kapoor, Rahul Bose, Neeraj Kabi","When a mysterious murder takes place at exiled billionaire Ashish Kapoor's birthday getaway, detective Mira Rao must use all her skill to unravel devious motives as the suspects are Kapoor's close family and friends."
17,Gadar 2,2023,"Action, Adventure, Drama",,Anil Sharma,"Sunny Deol, Amrish Puri, Nana Patekar, Ameesha Patel","When Tara Singh goes missing during a skirmish and is believed to be captured in Pakistan, his son Jeete sets out to rescue him and enters a labyrinth from which they both must escape at all costs."
18,Por Thozhil,2023,"Action, Crime, Thriller",,"Vignesh Raja, T. Senthil Paramasivam","R. Sarathkumar, Ashok Selvan, Nikhila Vimal, Sarath Babu",A bright but faint-hearted rookie cop has to overcome his fears in order to succeed in his first case which sees him partnered with a reclusive senior officer to catch a serial killer on the loose.
19,Life of Pi,2012,"Adventure, Drama, Fantasy",,Ang Lee,"Suraj Sharma, Irrfan Khan, Adil Hussain, Tabu","A young man who survives a disaster at sea is hurtled into an epic journey of adventure and discovery. While cast away, he forms an unexpected connection with another survivor: a fearsome Bengal tiger."
20,Asoka,2001,"Action, Biography, Drama",,Santosh Sivan,"Shah Rukh Khan, Kareena Kapoor, Danny Denzongpa, Hrishitaa Bhatt",The epic tale of King Asoka's life is recounted.
21,The Darjeeling Limited,2007,"Adventure, Comedy, Drama",,Wes Anderson,"Owen Wilson, Adrien Brody, Jason Schwartzman, Amara Karan","A year after their father's funeral, three brothers travel across India by train in an attempt to bond with each other."
22,Dangal,2016,"Action, Biography, Drama",,Nitesh Tiwari,"Aamir Khan, Sakshi Tanwar, Fatima Sana Shaikh, Sanya Malhotra",Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.
23,Tumbbad,2018,"Drama, Fantasy, Horror",,"Rahi Anil Barve, Anand Gandhi, Adesh Prasad","Sohum Shah, Jyoti Malshe, Anita Date-Kelkar, Ronjini Chakraborty",A mythological story about a goddess who created the entire universe. The plot revolves around the consequences when humans build a temple for her first-born.
24,Dunki,2023,"Comedy, Drama",,Rajkumar Hirani,"Shah Rukh Khan, Taapsee Pannu, Boman Irani, Vicky Kaushal",The rampant use of an illegal backdoor route called 'Donkey Flight' by Indians to immigrate to countries like Canada and USA.
25,Sirf Ek Bandaa Kaafi Hai,2023,"Crime, Drama, Thriller",,Apoorv Singh Karki,"Manoj Bajpayee, Surya Mohan Kulshreshtha, Jai Hind Kumar, Nikhil Pandey",A common man with honesty and integrity can take on the system when he has truth on his side.
26,Gangs of Wasseypur,2012,"Action, Comedy, Crime",,Anurag Kashyap,"Manoj Bajpayee, Nawazuddin Siddiqui, Tigmanshu Dhulia, Richa Chadha","A clash between Sultan and Shahid Khan leads to the expulsion of Khan from Wasseypur, and ignites a deadly blood feud spanning three generations."
27,Khufiya,2023,"Action, Biography, Crime",,Vishal Bhardwaj,"Tabu, Ali Fazal, Wamiqa Gabbi, Azmeri Haque Badhon","Krishna Mehra who is an operative at Indian spy agency known as R&AW. She is assigned to track down the mole selling India's defense secrets, while all along grappling with her dual identity as a spy and a lover."
28,Animal,2023,"Action, Crime, Drama",,Sandeep Reddy Vanga,"Ranbir Kapoor, Triptii Dimri, Saurabh Sachdeva, Anil Kapoor","Animal is the story of a son's obsessive love for his father. Often away due to work the father is unable to comprehend the intensity of his son's love. Ironically, this fervent love and ...                See full summary »"
29,Miss Shetty Mr Polishetty,2023,"Comedy, Drama, Romance",,Mahesh Babu P.,"Keshav Deepak, Abhinav Gomatam, Jayasudha, Koushik Mahata","Miss Shetty is a feminist living in London and wants to be single forever. Mr. Polishetty from Hyderabad in Telangana, India, wants to be in a committed relationship. The two appear to be in different stages of life but somehow connect."
30,Bawaal,2023,"Action, Drama, Romance",,Nitesh Tiwari,"Varun Dhawan, Janhvi Kapoor, Manoj Pahwa, Anjuman Saxena",A small-town man who falls in love with the most beautiful girl in town. He wants to marry her one day because marrying her can raise his social position.
31,Brahmastra Part One: Shiva,2022,"Action, Adventure, Fantasy",,Ayan Mukerji,"Amitabh Bachchan, Ranbir Kapoor, Alia Bhatt, Nagarjuna Akkineni","A DJ with superpowers and his ladylove embark on a mission to protect the Brahmastra, a weapon of enormous energy, from dark forces closing in on them."
32,Ghoomer,2023,"Drama, Sport",,R. Balki,"Amitabh Bachchan, Shabana Azmi, Abhishek Bachchan, Saiyami Kher","Anina, a young batting prodigy, loses her right hand in an accident. An unsympathetic, failed cricketer gives her new hope, trains her with unconventional techniques, to turn her fate around. Ghoomer is a new style of bowling they invent."
33,Tiger 3,2023,"Action, Adventure, Thriller",,Maneesh Sharma,"Salman Khan, Katrina Kaif",Plot under wraps
34,Tu Jhoothi Main Makkaar,2023,"Comedy, Romance",,Luv Ranjan,"Ranbir Kapoor, Shraddha Kapoor, Krrish Saini, Anubhav Singh Bassi","Madness ensues when a 'player' in the world of romantic relationships finds a girl who's a worthy opponent, that believes love is a battle of wits."
35,Drishyam 2,2022,"Crime, Drama, Mystery",,Abhishek Pathak,"Ajay Devgn, Akshaye Khanna, Tabu, Shriya Saran",A gripping tale of an investigation and a family which is threatened by it. Will Vijay Salgaonkar be able to protect his family this time?
36,Gandhi,1982,"Biography, Drama, History",,Richard Attenborough,"Ben Kingsley, John Gielgud, Rohini Hattangadi, Roshan Seth",The life of the lawyer who became the famed leader of the Indian revolts against the British rule through his philosophy of nonviolent protest.
37,PK,2014,"Comedy, Drama, Sci-Fi",,Rajkumar Hirani,"Aamir Khan, Anushka Sharma, Sanjay Dutt, Boman Irani",An alien on Earth loses the only device he can use to communicate with his spaceship. His innocent nature and child-like questions force the country to evaluate the impact of there religious views on there people.
38,My Name Is Khan,2010,"Adventure, Drama, Romance",,Karan Johar,"Shah Rukh Khan, Kajol, Sheetal Menon, Katie Amanda Keane",An Indian Muslim man with Asperger's syndrome takes a challenge to speak to the President of the United States seriously and embarks on a cross-country journey.
39,Raees,2017,"Action, Crime, Drama",,Rahul Dholakia,"Shah Rukh Khan, Jaideep Ahlawat, Sunny Leone, Nawazuddin Siddiqui",A bootlegger sets out to improve his community as a promising leader but falls in a political trap.
40,Rama Banam,2023,"Action, Drama",,Sriwass,"Gopichand, Dimple Hayathi, Jagapathi Babu, Kushboo","Two siblings, who despite their difference in ideologies come together to fight for their common goal."
41,Andhadhun,2018,"Crime, Mystery, Thriller",,Sriram Raghavan,"Tabu, Ayushmann Khurrana, Radhika Apte, Anil Dhawan","A series of mysterious events change the life of a blind pianist, who must now report a crime that he should technically know nothing of."
42,Thank You for Coming,2023,Comedy,,Karan Boolani,"Bhumi Pednekar, Dolly Ahluwalia, Shibani Bedi, Saloni Daini","When five best friends assemble together at a family gathering, they must navigate the hilarious and heartwarming consequences of their lie, discovering the true depth of their friendship and love."
43,Dream Girl 2,2023,"Comedy, Drama, Romance",,Raaj Shaandilyaa,"Paresh Rawal, Ananya Panday, Ayushmann Khurrana, Annu Kapoor","Karam, who is trying to live a serious life in Mathura and falls in love with Pari but life is hell bent on not taking him seriously. In a turn of events Karam becomes Pooja which creates further chaos in his already chaotic life."
44,Kushi,2023,"Comedy, Drama, Romance",,Shiva Nirvana,"Samantha Ruth Prabhu, Vijay Deverakonda, Lakshmi, Murli Sharma","Raised in an atheist household, a young man falls in love with the daughter of his father's arch-rival, a devout Hindu leader."
45,Taare Zameen Par,2007,"Drama, Family",,"Aamir Khan, Amole Gupte","Darsheel Safary, Aamir Khan, Tanay Chheda, Sachet Engineer","An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school."
46,Drishyam,2015,"Crime, Drama, Mystery",,Nishikant Kamat,"Ajay Devgn, Shriya Saran, Tabu, Rajat Kapoor","Desperate measures are taken by a man who tries to save his family from the dark side of the law, after they commit an unexpected crime."
47,Chor Nikal Ke Bhaga,2023,"Crime, Drama, Thriller",,Ajay Singh,"Yami Gautam, Sunny Kaushal, Sharad Kelkar, Indraneil Sengupta","A flight attendant and her business partner on a mission to steal diamonds and free themselves from the clutches of a loan shark.At 40,000 feet in the air, the heist goes horribly wrong and turns into a hostage situation."
48,Gangubai Kathiawadi,2022,"Biography, Crime, Drama",,Sanjay Leela Bhansali,"Alia Bhatt, Shantanu Maheshwari, Vijay Raaz, Indira Tiwari","Duped and sold to a brothel, a young woman fearlessly reclaims her power, using underworld connections to preside over the world she was once a pawn in."
49,Gaslight,2023,"Crime, Horror, Mystery",,Pavan Kirpalani,"Sara Ali Khan, Vikrant Massey, Chitrangda Singh, Rahul Dev","Misha returns to her royal family estate after 15 years to visit her estranged father, only to find him missing."
50,The Buckingham Murders,2023,Thriller,,Hansal Mehta,"Kareena Kapoor, Keith Allen, Haqi Ali, Chris Wilson","Follows Jass, a detective-mother who after losing her own child must investigate the murder of a 10-year-old in Buckinghamshire, going down a rabbit hole of secrets, where almost everyone in the small town becomes a suspect."
51,Fighter,2024,"Action, Adventure, Thriller",,Siddharth Anand,"Hrithik Roshan, Deepika Padukone, Anil Kapoor, Akarsh Alagh","FIGHTER is India's first aerial action film releasing in theaters on 25th January, 2024."
52,Bholaa,2023,"Action, Adventure, Crime",,Ajay Devgn,"Ajay Devgn, Tabu, Abhishek Bachchan, Amala Paul","After getting out of prison with the desire to meet his daughter, Bholaa's plans are interrupted by a well-orchestrated drug bust."
53,Om Shanti Om,2007,"Action, Comedy, Drama",,Farah Khan,"Shah Rukh Khan, Deepika Padukone, Arjun Rampal, Kirron Kher","In the 1970s, Om, an aspiring actor, is murdered, but is immediately reincarnated into the present day. He attempts to discover the mystery of his demise and find Shanti, the love of his previous life."
54,Kabhi Khushi Kabhie Gham...,2001,"Drama, Musical, Romance",,Karan Johar,"Shah Rukh Khan, Kajol, Amitabh Bachchan, Hrithik Roshan","After marrying a poor woman, rich Rahul is disowned by his father and moves to London to build a new life. Years later, his now-grown younger brother Rohan embarks on a mission to bring Rahul back home and reunite the family."
55,The Kerala Story,2023,Drama,,"Sudipto Sen, Vipul Amrutlal Shah","Adah Sharma, Yogita Bihani, Sonia Balani, Siddhi Idnani","A converted Muslim woman Fatima Ba narrates her ordeal of how she once wanted to become a nurse but was abducted from her home and manipulated by religious vanguards, turned into an ISIS terrorist and landed in Afghanistan jail."
56,Vikram Vedha,2022,"Action, Crime, Drama",,"Gayatri, Pushkar","Saif Ali Khan, Hrithik Roshan, Radhika Apte, Rohit Saraf",A tough police officer sets out to track down and kill an equally tough gangster.
57,"Swades: We, the People",2004,"Drama, Musical",,Ashutosh Gowariker,"Shah Rukh Khan, Gayatri Joshi, Kishori Ballal, Smith Seth",A successful Indian scientist returns to an Indian village to take his nanny to America with him and in the process rediscovers his roots.
58,Bajrangi Bhaijaan,2015,"Action, Adventure, Comedy",,"Kabir Khan, Mehmet Tutkun","Salman Khan, Harshaali Malhotra, Nawazuddin Siddiqui, Kareena Kapoor",An Indian man with a magnanimous heart takes a young mute Pakistani girl back to her homeland to reunite her with her family.
59,Bloody Daddy,2023,"Action, Crime, Drama",,Ali Abbas Zafar,"Shahid Kapoor, Vivan Bhatena, Diana Penty, Ronit Roy","A messed up, tenacious man faces off against cops and crime lords to save the one relationship that matters to him."
60,The Hundred-Foot Journey,2014,"Comedy, Drama",,Lasse Hallström,"Helen Mirren, Om Puri, Manish Dayal, Charlotte Le Bon",The Kadam family leaves India for France where they open a restaurant directly across the road from Madame Mallory's Michelin-starred eatery.
61,The Kashmir Files,2022,Drama,,Vivek Agnihotri,"Mithun Chakraborty, Anupam Kher, Darshan Kumaar, Pallavi Joshi","A heart-wrenching tale that captures the pain, suffering, and struggle of the Kashmiri Pandit community in 1990 and leads Krishna, a young college student, to set out on a quest to uncover the truth."
62,Akelli,2023,"Drama, Thriller",,Pranay Meshram,"Nushrratt Bharuccha, Amir Boutrous, Nishant Dahiya, Vijay Kumar Dogra",An ordinary Indian girl gets trapped in a war-torn land and survival is her battle.
63,OMG: Oh My God!,2012,"Comedy, Drama, Fantasy",,Umesh Shukla,"Paresh Rawal, Akshay Kumar, Mithun Chakraborty, Mahesh Manjrekar",A shopkeeper takes God to court when his shop is destroyed by an earthquake.
64,Adipurush,2023,"Action, Adventure, Drama",,Om Raut,"Kriti Sanon, Saif Ali Khan, Prabhas, Devdutta Nage",A modern adaptation of the Indian epic Ramayana which follows the exiled prince Raghav's journey to rescue his wife Janaki from the raakshash king Lankesh.
65,IB 71,2023,"Action, Thriller",,"Sankalp Reddy, Lee Whittaker","Anupam Kher, Vidyut Jammwal, Dalip Tahil, Nissar Khan",A two- front war between Indian intelligence agencies and the Pakistani establishment.
66,Padmaavat,2018,"Drama, History, Romance",,Sanjay Leela Bhansali,"Deepika Padukone, Ranveer Singh, Shahid Kapoor, Aditi Rao Hydari","Set in medieval Rajasthan, Queen Padmavati is married to a noble king and they live in a prosperous fortress with their subjects until an ambitious Sultan hears of Padmavati's beauty and forms an obsessive love for the Queen of Mewar."
67,Zindagi Na Milegi Dobara,2011,"Comedy, Drama, Musical",,Zoya Akhtar,"Hrithik Roshan, Farhan Akhtar, Abhay Deol, Katrina Kaif",Three friends decide to turn their fantasy vacation into reality after one of their friends gets engaged.
68,Jab Tak Hai Jaan,2012,"Drama, Romance",,Yash Chopra,"Shah Rukh Khan, Katrina Kaif, Anushka Sharma, Lucy Phelps",An uncompromising film on true love from the legendary and unforgettable director Yash Chopra which is fascinatingly distinctive and contemporary.
69,Monica O My Darling,2022,"Comedy, Crime, Drama",,Vasan Bala,"Rajkummar Rao, Huma Qureshi, Sikandar Kher, Bagavathi Perumal","A slick robotics expert joins a murderous plot after a passionate affair takes a sudden turn, but nothing not even death , is what it seems to be."
70,Bhediya,2022,"Comedy, Fantasy, Horror",,Amar Kaushik,"Varun Dhawan, Kriti Sanon, Abhishek Banerjee, Deepak Dobriyal","Set in the forests of Arunachal, Bhediya is a story of Bhaskar, a man who gets bitten by a wolf, and begins to transform into the creature. As Bhaskar and his buddies try to find answers, a bunch of twists, turns, and laughs ensue."
71,Ra.One,2011,"Action, Adventure, Sci-Fi",,Anubhav Sinha,"Shah Rukh Khan, Arjun Rampal, Kareena Kapoor, Shahana Goswami","When the titular antagonist of an action game takes on physical form, it's only the game's less powerful protagonist who can save his creator's family."
72,Laal Singh Chaddha,2022,"Comedy, Drama, Romance",,Advait Chandan,"Aamir Khan, Ahmad Ibn Umar, Kareena Kapoor, Hafsa Ashraf","The story of Laal Singh Chaddha, a simple man whose extraordinary journey will fill you with love, warmth and happiness."
73,Don 2,2011,"Action, Crime, Thriller",,Farhan Akhtar,"Shah Rukh Khan, Florian Lukas, Om Puri, Priyanka Chopra Jonas","Don turns himself in and escapes with Vardhaan from prison, following which he recruits a team to steal currency printing plates from a bank in Berlin."
74,Chup,2022,"Crime, Drama, Mystery",,R. Balki,"Dulquer Salmaan, Shreya Dhanwanthary, Sunny Deol, Pooja Bhatt",A crime thriller in which police are on the hunt for a killer who is targeting film critics.
75,Kuch Kuch Hota Hai,1998,"Comedy, Drama, Musical",,Karan Johar,"Shah Rukh Khan, Kajol, Rani Mukerji, Sana Saeed","During their college years, Anjali was in love with her best-friend Rahul, but he had eyes only for Tina. Years later, Rahul and the now-deceased Tina's eight-year-old daughter attempts to reunite her father and Anjali."
76,Don,2006,"Action, Crime, Thriller",,Farhan Akhtar,"Shah Rukh Khan, Priyanka Chopra Jonas, Arjun Rampal, Isha Koppikar","Vijay is recruited by a police officer to masquerade as his lookalike Don, the leader of an international gang of smugglers. Things go wrong when the officer is killed and Vijay is left to fend for himself."
77,Devdas,2002,"Drama, Musical, Romance",,Sanjay Leela Bhansali,"Shah Rukh Khan, Aishwarya Rai Bachchan, Madhuri Dixit, Jackie Shroff","After his wealthy family prohibits him from marrying the woman he is in love with, Devdas Mukherjee's life spirals further and further out of control as he takes up alcohol and a life of vice to numb the pain."
78,Badla,2019,"Crime, Drama, Mystery",,Sujoy Ghosh,"Amitabh Bachchan, Taapsee Pannu, Amrita Singh, Antonio Aakeel",A dynamic young entrepreneur finds herself locked in a hotel room with the corpse of her dead lover. She hires a prestigious lawyer to defend her and they work together to figure out what actually happened.
79,Gumraah,2023,"Action, Crime, Drama",,Vardhan Ketkar,"Aditya Roy Kapoor, Mrunal Thakur, Ronit Roy, Vedika Pinto",The murder investigation of a young man takes an unexpected turn when the cops discover that the prime suspect has a lookalike.
80,The Lunchbox,2013,"Drama, Romance",,Ritesh Batra,"Irrfan Khan, Nimrat Kaur, Nawazuddin Siddiqui, Lillete Dubey",A mistaken delivery in Mumbai's famously efficient lunchbox delivery system connects a young housewife to an older man in the dusk of his life as they build a fantasy world together through notes in the lunchbox.
81,Zara Hatke Zara Bachke,2023,"Comedy, Drama, Family",,Laxman Utekar,"Vicky Kaushal, Sara Ali Khan, Inaamulhaq, Sushmita Mukherjee","Kapil and Somya are a happily married couple from Indore who live in a joint family and decide to get a divorce one fine day. Things don't go as planned as their family gets to know of it, and thus begins a comedy of errors."
82,Street Fighter: The Legend of Chun-Li,2009,"Action, Crime, Fantasy",,Andrzej Bartkowiak,"Kristin Kreuk, Neal McDonough, Michael Clarke Duncan, Chris Klein","When a child, Chun-Li sees her father being captured by wealthy gangster Bison. When she grows up, she goes into a quest for justice and bring down the criminal organization Shadaloo which is led by Bison."
83,Ganapath,2023,"Action, Drama, Sci-Fi",,Vikas Bahl,"Tiger Shroff, Himanshu Jaykar, Kriti Sanon, Amitabh Bachchan","In a dystopian future, Ganapath, a relentless and skilled vigilante, embarks on a mission to dismantle a powerful criminal empire that has gripped the city in fear, Ganapath becomes a symbol of hope for the oppressed in which leads dark."
84,Kalki 2898-AD,2024,"Action, Drama, Fantasy",,Nag Ashwin,"Deepika Padukone, Amitabh Bachchan, Dulquer Salmaan, Disha Patani","A modern-day avatar of Vishnu, a Hindu god, who is believed to have descended to earth to protect the world from evil forces."
85,Kal Ho Naa Ho,2003,"Comedy, Drama, Musical",,Nikkhil Advani,"Preity G Zinta, Shah Rukh Khan, Saif Ali Khan, Jaya Bachchan","Naina, an introverted, perpetually depressed girl's life changes when she meets Aman. But Aman has a secret of his own which changes their lives forever. Embroiled in all this is Rohit, Naina's best friend who conceals his love for her."
86,Bride & Prejudice,2004,"Comedy, Drama, Musical",,Gurinder Chadha,"Martin Henderson, Aishwarya Rai Bachchan, Nadira Babbar, Anupam Kher","A modern adaptation of Jane Austen's classic novel, Pride and Prejudice, that features the lives of four unmarried daughters in an Indian family."
87,The White Tiger,2021,"Crime, Drama",,Ramin Bahrani,"Adarsh Gourav, Rajkummar Rao, Priyanka Chopra Jonas, Vedant Sinha",An ambitious Indian driver uses his wit and cunning to escape from poverty and rise to the top. An epic journey based on the New York Times bestseller.
88,Lust Stories 2,2023,"Drama, Romance",,"R. Balki, Sujoy Ghosh, Amit Ravindernath Sharma, Konkona Sen Sharma","Tamannaah Bhatia, Vijay Varma, Neena Gupta, Mrunal Thakur","Four eminent Indian directors explore sex, desire and love through short films in this sequel to 2018's Emmy-nominated ""Lust Stories""."
89,Bajirao Mastani,2015,"Action, Drama, History",,Sanjay Leela Bhansali,"Ranveer Singh, Deepika Padukone, Priyanka Chopra Jonas, Tanvi Azmi","An account of the romance between the Maratha general, Baji Rao I and Mastani, princess of Bundelkhand."
90,Kaun?,1999,"Mystery, Thriller",,Ram Gopal Varma,"Urmila Matondkar, Manoj Bajpayee, Sushant Singh","While alone in the house, a woman hears news of serial killer on the loose. And then a stranger rings the doorbell..."
91,Dear Zindagi,2016,"Drama, Romance",,Gauri Shinde,"Alia Bhatt, Shah Rukh Khan, Kunal Kapoor, Priyanka Moodley","Kaira is a budding cinematographer in search of a perfect life. Her encounter with Jug, an unconventional thinker, helps her gain a new perspective on life. She discovers that happiness is all about finding comfort in life's imperfections."
92,Chhichhore,2019,"Comedy, Drama, Romance",,Nitesh Tiwari,"Sushant Singh Rajput, Shraddha Kapoor, Varun Sharma, Prateik Patil Babbar","A tragic incident forces Anirudh, a middle-aged man, to take a trip down memory lane and reminisce his college days along with his friends, who were labelled as losers."
93,Freddy,2022,"Drama, Mystery, Romance",,Shashanka Ghosh,"Kartik Aaryan, Alaya F, Karan Pandit, Sajjad Delafrooz",The lines between love and obsession blur in this romantic thriller packed with unpredictable twists and sharp turns.
94,Yeh Jawaani Hai Deewani,2013,"Comedy, Drama, Musical",,Ayan Mukerji,"Ranbir Kapoor, Deepika Padukone, Aditya Roy Kapoor, Kalki Koechlin","Kabir and Naina bond during a trekking trip. Before Naina can express herself, Kabir leaves India to pursue his career. They meet again years later, but he still cherishes his dreams more than bonds."
95,Sir,2018,"Drama, Romance",,Rohena Gera,"Tillotama Shome, Vivek Gomber, Geetanjali Kulkarni, Rahul Vohra","A prosperous young Indian man falls in love with his servant, a widow with the dream of becoming a fashion designer."
96,Mrs. Chatterjee vs. Norway,2023,"Biography, Drama",,Ashima Chibber,"Rani Mukerji, Jim Sarbh, Bodhisattwa Majumdar, Saswati Guhathakurta",An immigrant Indian mother's battle against the Norwegian foster care system and local legal machinery to win back the custody of her children.
97,Munna Bhai M.B.B.S.,2003,"Comedy, Drama",,Rajkumar Hirani,"Sanjay Dutt, Arshad Warsi, Gracy Singh, Boman Irani",A gangster sets out to fulfill his father's dream of becoming a doctor.
98,Fan,2016,"Action, Drama, Thriller",,Maneesh Sharma,"Shah Rukh Khan, Shriya Pilgaonkar, Sayani Gupta, Waluscha D'Souza",Gaurav's world revolves around the superstar Aryan Khanna. What happens when his passion turns into a dangerous obsession that crosses the fine line?
99,Welcome to the Jungle,2024, ,,Ahmed Khan,"Akshay Kumar, Sanjay Dutt, Disha Patani, Jacqueline Fernandez",Police officers Jay Bakshi and Sandhya have been given task to track down notorious criminal Raj Solanki. Things take an unexpected turn when JaY finds out that Raj plays a significant role in his life.
100,Vikram Vedha,2017,"Action, Crime, Drama",,"Gayatri, Pushkar, Gowtham Selvaraj","Madhavan, Vijay Sethupathi, Shraddha Srinath, Kathir","Vikram, a no-nonsense police officer, accompanied by Simon, his partner, is on the hunt to capture Vedha, a smuggler and a murderer. Vedha tries to change Vikram's life, which leads to a conflict."
101,Lagaan: Once Upon a Time in India,2001,"Drama, Musical, Sport",,Ashutosh Gowariker,"Aamir Khan, Raghubir Yadav, Gracy Singh, Rachel Shelley",The people of a small village in Victorian India stake their future on a game of cricket against their ruthless British rulers.
102,Trial Period,2023,"Comedy, Drama",,Aleya Sen,"Genelia Deshmukh, Manav Kaul, Shakti Kapoor, Sheeba Chaddha",A working single mother's world turns upside down when her inquisitive son demands a new papa on a 30-day 'Trial Period'.
103,Kathal: A Jackfruit Mystery,2023,"Comedy, Crime, Drama",,Yashowardhan Mishra,"Sanya Malhotra, Joshi Anantvijay, Vijay Raaz, Rajpal Naurang Yadav",A local politician whose prized jackfruits go missing and a young police officer who is adamant to solve this bizarre case to prove herself.
104,Sardar Udham,2021,"Biography, Crime, Drama",,Shoojit Sircar,"Vicky Kaushal, Shaun Scott, Stephen Hogan, Amol Parashar","A biopic detailing the 2 decades that Punjabi Sikh revolutionary, Udham Singh, spent planning the assassination of the man responsible for the Jallianwala Bagh massacre."
105,Kisi Ka Bhai Kisi Ki Jaan,2023,"Action, Comedy, Drama",,Farhad Samji,"Salman Khan, Pooja Hegde, Venkatesh Daggubati, Jagapathi Babu","The eldest brother refuses to marry since he believes it may create disharmony in his big family. His brothers, who've already found partners, come together to find a match for him."
